text,intent,labelIndex
please list the twa flights from las vegas to new york and fare,flight,0
all flights from dallas to san francisco,flight,0
what 's the cheapest fare from san francisco to baltimore,airfare,2
show me boston to oakland flights,flight,0
i need to fly leaving philadelphia to atlanta,flight,0
i would like to find a flight from charlotte north carolina to las vegas i would like a stopover in st. louis,flight,0
please show me any united flights including connections between boston and san francisco at 5 in the evening,flight,0
flights from cincinnati to o 'hare departing after 718 am american,flight,0
interested in a flight from washington to fort worth,flight,0
list nonstop flights from burbank to denver arriving by 6 pm,flight,0
show me the schedule for airlines leaving pittsburgh going to san francisco for next monday,flight_time,1
give me morning flights from charlotte to baltimore,flight,0
list all united flights from philadelphia to san francisco,flight,0
i want to fly from milwaukee to orlando,flight,0
is there a flight from boston to atlanta which leaves boston in the afternoon and arrives close to 5 pm,flight,0
show me one way flights from milwaukee to orlando leaving on wednesday morning,flight,0
show me all the flights from burbank,flight,0
show me the aircraft that canadian airlines uses,aircraft,3
yes i live in washington and i want to make a trip to san francisco which airlines may i use for this trip,flight,0
please list flights from atlanta to philly,flight,0
flights from la guardia or jfk to cleveland,flight,0
show me the american airline flights leaving phoenix on wednesday and arriving in milwaukee,flight,0
show all flights on lufthansa airlines out of boston,flight,0
can you tell me the cheapest flight between boston and san francisco,flight,0
i would like to see the flights from baltimore to philadelphia please,flight,0
give me flights from atlanta to baltimore,flight,0
i want a flight departing from newark to los angeles that leaves in the morning,flight,0
list the flights from baltimore to seattle that stop in minneapolis,flight,0
i need a flight from pittsburgh to new york departing after 5 pm,flight,0
show me all flights from phoenix to milwaukee on american airlines on wednesday,flight,0
which are the least expensive flights between dallas and baltimore on july nineteenth,flight,0
show me all flights from san francisco to denver,flight,0
which airlines fly between baltimore and san francisco,airline,6
what airlines fly from boston to denver,airline,6
round trip flights between houston and las vegas,flight,0
what american airlines flights depart milwaukee for phoenix on saturday or sunday,flight,0
i 'm looking for a flight that goes from ontario to westchester and stops in chicago,flight,0
what is the cheapest one way ticket from denver to pittsburgh,airfare,2
what kind of airline is flight ua 281 from boston to denver,airline,6
which airlines fly between boston and philadelphia,airline,6
list nonstop flights from baltimore washington airport to oakland that depart in the afternoon,flight,0
please list fares for all the flights from atlanta to philadelphia on august the first,airfare,2
show me the flights that go from san diego to newark new jersey by way of houston,flight,0
what flights are there from dallas to pittsburgh on monday morning,flight,0
what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas,aircraft,3
what is the cost of round trip ticket first class between oakland and atlanta,airfare,2
i need flight information on saturday for a flight from philadelphia to dallas,flight,0
what night flight do you have from san francisco to denver on united on the evening of august twenty seventh,flight,0
what are the flights from philadelphia to dallas on october first 1991,flight,0
list all tuesday night flights from boston to denver,flight,0
what flights available between pittsburgh and baltimore on august eleventh,flight,0
i want a flight from denver to pittsburgh then from pittsburgh to atlanta then from atlanta back to pittsburgh back to denver,flight,0
give me a flight from newark to tampa on friday,flight,0
what are the flights from pittsburgh to baltimore,flight,0
list the american airlines flights from dallas to san francisco,flight,0
what afternoon flights are available from pittsburgh to atlanta on a weekday,flight,0
what does the abbreviation ua mean,abbreviation,8
i 'd like a flight on united airlines from dallas to san francisco that leaves after 815 am,flight,0
what is the fare on american airlines flight 928 from dallas fort worth to boston,airfare,2
flights from indianapolis to seattle washington,flight,0
which airline is the cheapest to fly from dallas to baltimore on december twenty fourth,airline,6
how much is a round trip first class fare between boston and washington,airfare,2
i 'd like to find a flight from tampa to montreal that makes a stop in new york,flight,0
show the flights that leave philadelphia that go to atlanta that leave early on thursday morning,flight,0
show me the airlines for flights to or from love field,airline,6
how many flights does each airline have with first class service,quantity,10
show me next wednesday 's flights between phoenix and milwaukee,flight,0
show me flights from philadelphia to baltimore,flight,0
round trip air fares from pittsburgh to philadelphia less than 1000 dollars,airfare,2
show me the flights from boston to san francisco leaving after 4 pm on friday,flight,0
what does code y stand for,abbreviation,8
what is the cheapest round trip flight from denver to atlanta,flight,0
can you show me flights that are economy class from baltimore to dallas,flight,0
ground transportation denver,ground_service,4
what is the earliest flight from boston to san francisco that serves a meal,flight,0
what ground transportation is available at denver airport,ground_service,4
okay i 'm sorry could you tell me what flights leave atlanta and arrive in philadelphia around 5 o'clock,flight,0
and how much does it cost to travel from boston airport to downtown,airfare,2
earliest flight from atlanta to philadelphia,flight,0
what flights from indianapolis to memphis,flight,0
when is the first flight in the morning from boston to denver,flight,0
show me the nonstop flights from nashville to st. louis,flight,0
show flights from atlanta to baltimore,flight,0
where is general mitchell international located,city,11
what is bur,abbreviation,8
are there any nonstop flights from san francisco to boston on thursdays,flight,0
thank you for that information now i would like information on a flight on april sixteen from atlanta to philadelphia early in the morning,flight,0
i 'd like flights going from boston to atlanta leaving on august sixth in the afternoon,flight,0
i need to fly from denver to san francisco tuesday,flight,0
what does ff mean,abbreviation,8
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,flight,0
all flights from pittsburgh to philadelphia that arrive at 6 o'clock next tuesday,flight,0
list all flights departing from general mitchell,flight,0
show me the one way fares from san diego to miami nonstop,airfare,2
show me the flights from atlanta to boston,flight,0
what are the delta flights from dallas to boston,flight,0
show me all flights from boston to dfw,flight,0
what is the departure time of the latest flight of united airlines from denver to boston,flight_time,1
show me the airlines that fly between toronto and denver,airline,6
on thursday i 'd like a flight from st. petersburg to miami,flight,0
please find me a flight between boston and philadelphia that arrives in philadelphia close to 5 pm,flight,0
what northwest airline flights leave denver before noon,flight,0
from denver to baltimore,flight,0
i 'm trying to find a flight from columbus to phoenix through cincinnati,flight,0
flight information between washington and denver on september third,flight,0
what flights go from boston to denver before 10 am,flight,0
flights from charlotte to baltimore,flight,0
what is restriction ap57,restriction,16
please list all flights from dallas to philadelphia on monday,flight,0
list all united flights from boston to san francisco,flight,0
are there any flights from boston to san francisco with a stopover in dallas,flight,0
i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco,flight,0
what flights from atlanta to st. louis on tuesday arriving around 230 pm,flight,0
show me the flights to love field from all other airports,flight,0
show me all flights from montreal,flight,0
is there a flight departing from san francisco and arriving in oakland on november seventh in the evening,flight,0
show me the flights from denver to westchester county,flight,0
can you tell me the latest evening flight from atlanta to denver on july seventh,flight,0
show me all flights from denver or philadelphia or pittsburgh to baltimore,flight,0
flights from las vegas to montreal,flight,0
does midwest express serve cleveland,flight,0
what kind of aircraft does delta fly before 8 am on august second from boston to denver,aircraft,3
list all flights arriving and departing at general mitchell international,flight,0
what is the cheapest one way fare from atlanta to boston,airfare,2
okay i 'm looking for a flight from tampa to st. louis leaving before 10 am any day,flight,0
what are all flights from boston to denver,flight,0
can you give me information on transportation from the airport in philadelphia to downtown philadelphia,ground_service,4
give me a flight from memphis to las vegas and new york city to las vegas on sunday that arrive at the same time,flight,0
what kind of airplane goes from philadelphia to san francisco monday stopping in dallas in the afternoon first class flight,aircraft,3
list all flights on continental departing on monday before noon from denver to chicago,flight,0
i would like to know the first class fare on a flight from baltimore to denver,airfare,2
flights from newark to cleveland 5 o'clock pm daily,flight,0
what is the cheapest fare between boston and san francisco,airfare,2
on tuesday i 'd like to fly from detroit to st. petersburg,flight,0
find a flight from san francisco to boston on wednesday,flight,0
what is the cheapest flight from dallas to baltimore,flight,0
what flights are there from newark to seattle on saturday,flight,0
please list all the takeoffs and landings for general mitchell international,flight,0
please list the morning flights from kansas city to atlanta,flight,0
i want to leave boston at 838 and arrive in denver at 1110 in the morning,flight,0
i would like one flight from kansas city to st. paul arriving around dinnertime 6 pm,flight,0
list nonstop flights from baltimore to newark on wednesday before noon,flight,0
i 'm looking for a flight traveling from boston to denver one way and the cheapest way possible,flight,0
what ground transportation is available at the boston airport,ground_service,4
what type of aircraft is used on american airline flight 315,aircraft,3
explain restriction ap please,abbreviation,8
i would like a us air flight from toronto to san diego with a stopover in denver please,flight,0
what is the lowest fare from denver to atlanta,airfare,2
what flights are there from new york city to las vegas,flight,0
how long does it take to get from kansas city to st. paul,distance,7
i would like a flight from kansas city to st. paul departing at 4 pm,flight,0
what is the round trip fare on continental 1291 from dallas to san francisco and return,airfare,2
i want to go and take a plane in atlanta and fly to boston,aircraft,3
i 'd like a flight leaving atlanta august seventh and arriving in denver colorado august seventh leaving in the afternoon,flight,0
show first flight from philadelphia to dallas,flight,0
list the flights from philadelphia to dallas on american airlines,flight,0
find a nonstop flight between boston and washington arriving in washington around 5 pm,flight,0
give me the continental flights from chicago to seattle on saturday morning,flight,0
what ground transportation is available in dallas tomorrow,ground_service,4
show me all flights from pittsburgh to boston both direct and connecting that depart pittsburgh after 7 pm,flight,0
show me the flights from pittsburgh to baltimore,flight,0
show me all the flights from montreal to detroit,flight,0
show me all flights from san francisco to la guardia nonstop,flight,0
show me flights from philadelphia to baltimore,flight,0
show me all the delta flights leaving pittsburgh between 12 and 4 in the afternoon,flight,0
could you please show me all flights from charlotte to milwaukee,flight,0
i 'd like to find the earliest flight possible from san francisco to atlanta,flight,0
what flights are available on wednesday from atlanta to washington dc,flight,0
i would like information information on flights from san francisco to denver on thursday morning,flight,0
please list the flights from st. paul to kansas city on friday night that serve meals,flight,0
flights from chicago to denver on continental on saturday morning,flight,0
i need a return flight from chicago to kansas city leaving chicago around 7 in the evening on the day following next wednesday,flight,0
i would like the fare on the us air 1039 from denver to pittsburgh on april twenty,airfare,2
what is the cheapest way to travel round trip from milwaukee to san francisco,flight,0
what 're the lowest one way fares from denver to atlanta,airfare,2
what flights are there from pittsburgh to san francisco on friday,flight,0
flights from la guardia to jfk,flight,0
please show me the return flight number from toronto to st. petersburg,flight_no,12
find me the earliest boston departure for atlanta and the lastest return trip from atlanta so that i can be in atlanta the longest amount of time but return to boston the same day,flight,0
an american airlines flight first class from philadelphia to dallas,flight,0
list the flights from houston to st. paul,flight,0
i would like to see the economy fares for denver to philadelphia,airfare,2
what are the flights from kansas city to burbank on saturday may twenty two on america west,flight,0
flights from st. paul to houston,flight,0
show me the aircraft that canadian airlines uses,aircraft,3
which airlines have flights from san francisco to washington by way of indianapolis,airline,6
are there any flights from boston to san francisco which stop in washington dc,flight,0
all flights from boston to washington dc on november eleventh before 10 am,flight,0
denver to philadelphia monday,flight,0
nonstop flights denver to kansas city,flight,0
i would like direct coach flights from pittsburgh to atlanta,flight,0
what flights are there arriving in chicago on continental after 11 pm,flight,0
can you list all nonstop flights departing from st. petersburg and arriving in charlotte,flight,0
what is the type of aircraft for united flight 21,aircraft,3
can you tell me about flights from san jose to nashville on saturday afternoon,flight,0
please give me flights available from denver to philadelphia,flight,0
round trip air fares from baltimore to philadelphia less than 1000 dollars,airfare,2
dallas to oakland saturday,flight,0
what aircraft is used on delta flight 1222 from kansas city to salt lake city,aircraft,3
i need to go from philadelphia to dallas,flight,0
how many flights does american airlines have from boston to atlanta,quantity,10
only show continental flights,flight,0
what is restriction ap 80,abbreviation,8
oakland to denver,flight,0
show me flights between new york city and las vegas on sunday,flight,0
can you tell me the flights on october fifteenth 1991 from boston to oakland,flight,0
what flights from chicago to denver in the morning,flight,0
what are the flights from washington dc to denver,flight,0
i would like an evening flight from pittsburgh to los angeles on june third,flight,0
from las vegas to phoenix departing in the morning,flight,0
flights from milwaukee to phoenix on saturday or sunday american airlines,flight,0
flights from boston to pittsburgh,flight,0
i 'm looking for ground transportation in dallas,ground_service,4
is there a flight from atlanta to san francisco that stops over in denver,flight,0
what is the earliest flight between boston and washington,flight,0
first class american flight from philadelphia to dallas on wednesday,flight,0
i 'd need information please on a flight from washington dc san francisco california,flight,0
i 'd like flight information between boston and washington september third,flight,0
list daily flights from atlanta to denver,flight,0
all flights from baltimore to philadelphia less than 1000 dollars,flight,0
show me the flights from san francisco to boston on august thirty first,flight,0
show flights between boston and philadelphia,flight,0
what limousine service is in boston,ground_service,4
what are the flights from las vegas to burbank also on saturday may twenty two,flight,0
how many united flights are there to san francisco,quantity,10
show me the flights into love field,flight,0
what are the rental car rates in san francisco,ground_fare,9
san francisco to boston please with a stopover in denver,flight,0
i would like to see the flights from denver to philadelphia,flight,0
please list all flights on united airlines and northwest which go to denver,flight,0
i 'm traveling to dallas from philadelphia,flight,0
list the total number of flights to all airports by delta,quantity,10
i need to book a flight from newark to tampa on april fourth,flight,0
show me all flights between san francisco and philadelphia for september fifteenth,flight,0
all flights from san francisco to los angeles,flight,0
is there a flight on continental airlines from boston to denver,flight,0
what flight from denver to pittsburgh arrives earliest in the morning,flight,0
when is the earliest flight from boston to denver,flight,0
what 's a flight that goes from baltimore to seattle,flight,0
what 's the first flight from boston to san francisco,flight,0
please give grounds transportation at dallas airport,ground_service,4
what is the latest afternoon flight i can get from dallas to san francisco on first class,flight,0
what is restriction ap 57,abbreviation,8
what is the earliest flight from boston that will arrive in denver,flight,0
what is the earliest arrival in salt lake city of a flight from toronto,flight,0
and what is the last flight from denver to boston for tomorrow evening,flight,0
please show all flights from philadelphia to denver airport next sunday,flight,0
all flights and fares from pittsburgh to dallas round trip after 12 pm less than 1100 dollars,flight+airfare,14
show me all fares between philadelphia and san francisco that are less than 200 dollars one way,airfare,2
show me fares leaving on tuesdays from denver to dallas,airfare,2
i want wednesday flights from atlanta to washington dc,flight,0
are they all nonstop flights from kansas city to st. paul,flight,0
okay show me all the flights to baltimore,flight,0
flights from pittsburgh to baltimore between 10 am and 2 pm,flight,0
i 'd like a return flight from denver to atlanta evening flights,flight,0
american flights from cincinnati to salt lake city,flight,0
list all the flights that depart from general mitchell international,flight,0
minneapolis to phoenix on monday,flight,0
show me dallas ground transport,ground_service,4
what flights are available monday from san francisco to pittsburgh,flight,0
flights from pittsburgh to los angeles thursday evening,flight,0
i need to fly from washington to san francisco but i 'd like to stop over at dallas can you tell me a schedule of flights that will do that,flight,0
what 's the cheapest round trip fare between dallas and baltimore,airfare,2
please list nonstop flights from las vegas to new york on america west,flight,0
i 'd like to see flights from baltimore to atlanta that arrive before noon and i 'd like to see flights from denver to atlanta that arrive before noon,flight,0
okay just on november twenty third i want to fly from atlanta to denver and i need to know what flights are available,flight,0
what kind of plane flies from boston to pittsburgh after noon,aircraft,3
flight from denver to salt lake city,flight,0
are there any other flights from boston to pittsburgh wednesday next week later than 5 pm,flight,0
flight information from oakland to denver,flight,0
i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm it must be a nonstop flight,flight,0
what flights are there available from philadelphia to denver on wednesday with economy class,flight,0
is there a united airlines flight from miami to washington dc arriving around noon,flight,0
show me all the flights from new york to milwaukee,flight,0
what ground transportation is available in denver,ground_service,4
could i have a listing of flights leaving boston going to baltimore leaving wednesday after 2100,flight,0
what ground transportation is available in atlanta,ground_service,4
what is the cost of the air taxi operation at philadelphia international airport,ground_fare,9
what does d s stand for for meals,abbreviation,8
show all airlines with flights between denver and dallas,airline,6
first class round trip airfare from indianapolis to memphis,airfare,2
how much does flight ua 297 from denver to san francisco cost,airfare,2
i need a round trip flight from cincinnati to san jose california,flight,0
what northwest airline flights leave denver before noon,flight,0
show me return flights from cincinnati to salt lake city nonstop,flight,0
is there a flight leaving from boston to atlanta,flight,0
show me a list of flights on july twenty second leaving dc to dallas leaving dc after 6 pm,flight,0
my question is i want to go to san francisco and i live in denver and i would like to fly on united airlines do you have an early flight,flight,0
show flights from pittsburgh into san francisco,flight,0
what flights are there from dallas to houston,flight,0
show me all flights between boston and washington,flight,0
show me all flights from boston to denver which arrive in denver wednesday before noon,flight,0
list possible round trip daily flights between boston and oakland,flight,0
please show me airlines with service from boston to denver,airline,6
what are the fares for flights between atlanta and dfw provided by delta airlines,airfare,2
show me one more time the first class fares from baltimore to dallas,airfare,2
what are my choices of flights to get from charlotte to minneapolis arriving about 7 pm in minneapolis,flight,0
tell me the flights from baltimore to dallas,flight,0
i want to find a flight from boston to atlanta,flight,0
ground transportation between airport and downtown in boston,ground_service,4
what 're the flights from memphis to las vegas that arrive on a sunday,flight,0
i would like to fly from dallas to san francisco on saturday and arrive in san francisco before 4 pm,flight,0
what are the flights from dallas to boston for tomorrow night or evening,flight,0
flight from denver to boston,flight,0
show me the flights from san francisco to dallas on continental airlines,flight,0
find me flights that are nonstop between boston and dallas,flight,0
show me the fare from dallas to san francisco,airfare,2
i want to know what flights you have available coach or economy class from baltimore to dallas,flight,0
show me american flights from dallas to san francisco,flight,0
what is the cheapest flight from pittsburgh to atlanta one way,flight,0
show prices for all flights from baltimore to dallas on july twenty ninth,airfare,2
what flights are available from dallas fort worth to atlanta,flight,0
looking for flights in toronto to san diego,flight,0
what do you have tomorrow after 5 o'clock from atlanta to san francisco,flight,0
what flight leaves dallas for atlanta on august twenty seventh in the evening,flight,0
list all flights from boston to oakland,flight,0
what 's the latest flight from san francisco to atlanta,flight,0
philadelphia to boston monday,flight,0
i want a flight from los angeles to charlotte that leaves on a weekday morning,flight,0
ground transport in denver,ground_service,4
i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm,flight,0
what ground transportation is available in baltimore for the day after tomorrow,ground_service,4
i would like an afternoon flight leaving tuesday san diego to indianapolis,flight,0
what is the earliest flight on thursday from atlanta to washington dc,flight,0
what is the latest flight leaving washington for denver,flight,0
find travel arrangements for a round trip flight from dallas to pittsburgh arriving after 8 pm before 10 pm,flight,0
give me a flight from charlotte to baltimore on tuesday morning,flight,0
i 'm looking for flights from pittsburgh to philadelphia leaving before 9 am,flight,0
what is fare code qo mean,abbreviation,8
what flights are there from baltimore to san francisco,flight,0
i would like to fly from salt lake city back to st. petersburg on wednesday,flight,0
i would like an afternoon flight from denver colorado to dallas texas,flight,0
how much is a limousine between dallas fort worth international airport and dallas,ground_fare,9
can you list all flights from chicago to st. louis that depart after 12 noon,flight,0
