text,intent,labelIndex,ERNIE(预训练模型),Bi-LSTM(非预训练模型)
我是，我买了6月7号贵阳到中山机场的飞机票，为什么今天发信息来说取消了，,办理客票改期,2,查询航班动态,办理客票改期
给我发票,申请及查询电子发票,40,配送行程单,申请及查询电子发票
唉我订那个票我能能不能在机场那里开发票呀，,配送行程单,15,查询机场或营业部信息,配送行程单
我取消不了小朋友的。你帮我们两直接重新选座可以吗?,办理值机选座,22,取消值机,办理值机选座
我需要办理的业务是我退的，钱还是退到卡里吗，退票之后钱啥时候退掉的，,办理航班退票,3,查询机票退款进度,办理航班退票
嗯怎么没申请退票，,办理航班退票,3,查询机票退款进度,办理航班退票
请问我我们订的是7月29号的航班从匈牙利回上海的，轻压力不打，贝斯回上海的这个航班开吗？,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
我收到信息说是给我把航班更改成FM9338，,办理客票改期,2,验证电子客票,办理客票改期
我想查询一下呃，从日本飞中国的航班东航现在有哪些航班在飞，,查询航班动态或预订客票,16,预订客票,查询航班动态或预订客票
刚刚给了，南昌到拉萨的一张那个两张机票那个什么时候能够出票，,预订客票,4,验证电子客票,预订客票
想问一下什么时候能飞，马尼拉，,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
呃我咨询，改分，呃就是说改签日期确定一下有没有改好，,办理客票改期,2,验证电子客票,办理客票改期
我的航班被取消了我需要接那个人工，,人工服务,13,办理客票改期,人工服务
我的手机号码，发生了你改变，我想问一下我怎么样去，在你们的系统里去，更改我的手机号码，,修改客票或会员信息汇总,29,修改会员资料,修改客票或会员信息汇总
嗯我要查询，行，我订的航班，,查询航班动态,11,验证电子客票,查询航班动态
然后在国际预订国内预订，,预订客票或兑换积分,21,预订客票,预订客票或兑换积分
我问你一下子还有什么时间飞往长春的几点钟的，什么日期，有，,查询航班动态,11,预订客票,查询航班动态
对我想问一下我订的那个从那个吐鲁番交河机场到南京的，是是，12月12号下午14点40的那个飞机，我吃的，返程她说取消了我想问一下，这是啥情况，,查询航班动态,11,办理客票改期,查询航班动态
帮我转两张，集团国内，退改签，,办理集团客户业务,75,办理客票改期,办理集团客户业务
就是我买的票啊呃那个登机牌上面没有这个金额但是我回来报账怎么办呢，没有啊，,配送行程单,15,咨询登机牌问题,配送行程单
你好我想我想问一下啊，我们从南宁过来，昆明这一边的，那天二十九号我们的行李来到这边的，那个行李箱，我们是一个团队，一五，五六个行李箱就被破坏了，两个是怎么样现在是怎么处理，,投诉,50,咨询托运及非托运行李规定,投诉
我想那个退票我已经退了两天了也到现在也退不了是什么原因，,办理航班退票,3,查询机票退款进度,办理航班退票
我想问，嗯，关于航班取消的事情，,办理客票改期,2,查询航班动态,办理客票改期
嗯我是想那个我因为我我刚才跟你说了，因为我，飞机飞机，他妈的，那个挺飞了，不是嘛，停飞了他又给我改签了给我改签到九点零五的，到了，九点零五这个航班，我下午已经重新买了一遍了，退款怎么退款呢，,办理航班退票,3,查询航班动态,办理航班退票
服务吗，四月4月16号去上海虹桥飞往潮汕的，,查询航班动态或预订客票,16,特殊服务汇总,查询航班动态或预订客票
我乘民航局的官网上面看到，从6月8号起，上海暂停，作为第一，入境，点了，那我想知道我的航班的，第一，入境，点是哪里，后续是怎么安排的，,办理客票改期,2,查询航班动态,办理客票改期
呃不是我是想问一下，甬港到虹桥机场，是否明天会给慧慧就是有没有就是有没有就是航班，,查询航班动态,11,查询航班动态或预订客票,查询航班动态
找客服找客服找客服，还有一些，怎么，怎么回事啊，机场怎么订的，那么远，,人工服务,13,预订客票或兑换积分,人工服务
我退票的那个什么时候给处理，,查询机票退款进度,6,办理航班退票,查询机票退款进度
请问一下我那个改签那个费用，我订了那个费用然后我就支付那个改签的费用呢，我订的那个费用退不退，,办理航班退票,3,办理客票改期,办理航班退票
嗯你好我在你们的app上面就是呃呃进去哦它说我的姓名啊，真实姓名啊，嗯不匹配，这是怎么回事，,办理网站业务,23,修改会员资料,办理网站业务
你好我问一下，从喀什坐飞机都需要去从喀什坐飞机去乌鲁木齐都需要什么相关手续资料，,咨询乘机规定,59,咨询乘机证件规定,咨询乘机规定
嗯请问一下子我这个订了一个呃，十二月二十九号的，一个东航ｍｕ五六一六，这个航班，因为大部分天气给，延误了，现在就说，我是从哈尔滨到乌鲁木齐的现在因为这个延误的话，我们做，,办理客票改期,2,办理航班退票,办理客票改期
哎你好呃我订了啊，三月十号从温哥华出发去武汉，三月二十三号从武汉出发回温哥华的机票我就想问一下，三月十号的，航班都取消了，没有，,查询航班动态,11,办理客票改期,查询航班动态
帮我查一下洛杉矶到广州有没有看有没有票，现在，东航上，马威，,预订客票,4,验证电子客票,预订客票
呃浦东机场有两个那个窗口，t1是不是一号窗口，,查询航站楼信息,51,查询机场或营业部信息,查询航站楼信息
飞机报销发票,申请及查询电子发票,40,配送行程单,申请及查询电子发票
不是是座位公务舱，,办理客票升舱,72,办理客票改期,办理客票升舱
航班受天气影响，时间调整，,办理客票改期,2,查询航班动态,办理客票改期
"你好,刚买了一张周四8月2日广州至台北的机票,证件是“往来台湾通行证”,也填了证件号,但不知是否选错成了护照",验证电子客票,12,修改客票证件,验证电子客票
我的飞机改签了我怎么办值机，,办理客票改期,2,办理值机选座,办理客票改期
想查一下，我买了，11月2号晚上的票，是不是正正，改签啊，,办理客票改期,2,验证电子客票,办理客票改期
我想问我那个订今天早上那个南京到哈尔滨那个飞机票航班航班取消了呢，,办理客票改期,2,查询航班动态,办理客票改期
一天，期间坐飞机大概需要多长时间，办值机，,办理值机选座,22,咨询乘机时限,办理值机选座
放屁了你，我有一张机票已经申请退票了，麻烦看一下，,办理航班退票,3,查询机票退款进度,办理航班退票
"喂你好我需要那个,嗯,行李就是飞机的订单,就是电子版的",申请及查询电子发票,40,配送行程单,申请及查询电子发票
我忘了在机场打印行程单，有什么办法呢,配送行程单,15,申请及查询电子发票,配送行程单
查一下今天早上七点钟从西安咸阳飞拉萨的飞航班有没有到啊，,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
你好我想问一下，我们买的团购票，可不可以改签日期，,办理客票改期,2,办理团队业务,办理客票改期
您好我这个机票已那个取消了怎么取消啊,办理航班退票,3,办理客票改期,办理航班退票
"呃就是我那个机票给我那个身份证,对不起错了一个字,要改签",修改客票姓名,27,修改客票证件,修改客票姓名
我想查六月份名古屋到西安的机票，,预订客票或兑换积分,21,预订客票或验证电子客票,预订客票或兑换积分
"推荐,不知道,哎你好我订的就是,曼德勒,呃喂昆明的,我们总共五个人嘛,就是说今天9点20分,呃,昆明飞,盼的了,其中有一个刘福奇的那个护照号码少了一个数字,少了一个数字",修改客票证件,44,修改客票姓名,修改客票证件
"我要查询我那个群,广州,从西安到广州的机票",预订客票,4,验证电子客票,预订客票
啊你好我想问一下就是我原订的5月31号15点35的航班，他现在突然告诉我，延迟到18点40，就是那一班取消了还是什么意思，,办理客票改期,2,查询航班动态,办理客票改期
查询一下，十一点钟到到和田的飞机，,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
你帮我转那个开票的开那个退票的那个，,申请及查询电子发票,40,办理航班退票,申请及查询电子发票
不正常，行期改退票，,办理客票改期,2,办理航班退票,办理客票改期
机票行程单能不能发给我,配送行程单,15,申请及查询电子发票,配送行程单
卡到期了，,咨询银行联名卡业务,38,会员服务其他,咨询银行联名卡业务
我想查一下呃，我订的这个航班呃有没有，我们的名字，,验证电子客票,12,修改客票姓名,验证电子客票
我想问一下今晚上从邯郸飞往这个上海浦东的机票ｍｕ五四一八，取消了航班，,查询航班动态,11,办理客票改期,查询航班动态
我想问一下我要退签机票退的，这个价位怎么这么少，,办理航班退票,3,办理客票改期,办理航班退票
航班信息查询，谢谢，,查询航班动态,11,查询航班动态或预订客票,查询航班动态
你好我是二十七号的飞机，现在等信息通知我，呃给我改签到二二十九号晚上了，我能不能，嗯是因为什么原因呢，,办理客票改期,2,查询航班动态,办理客票改期
我需要接订票服务的，人工服务，谢谢，,人工服务,13,预订客票或兑换积分,人工服务
托运红酒可以托运多少，,咨询特殊物品运输规定,8,咨询托运及非托运行李规定,咨询特殊物品运输规定
那会员相关问题，人工咨询，,人工服务,13,会员服务其他,人工服务
你好请问你一下，嗯现在是预订期间的，乘飞机需要自己带上健康证明吗？,咨询新冠肺炎防控要求,0,申请健康申明,咨询新冠肺炎防控要求
官网客服,办理网站业务,23,人工服务,办理网站业务
"你们那个官网,我一直登录不上去提示密码错误",办理网站业务,23,修改会员密码,办理网站业务
我先输入成人的信息，系统显示没有此人行程信息,验证电子客票,12,办理网站业务,验证电子客票
我想问我那个换的那个机票那个，本来是买的十二号的票十二号上午九点的，她现在他跟我说是，防一防，一起改改成十四号，但是我十四号，他发了两个短信给我，我买了三张只发了两个人的短信给我，还有一个人的短信没，没收到，我不知道这个是我们要怎么样做，,办理客票改期,2,办理航班退票,办理客票改期
查一下现在机票预订情况，,验证电子客票,12,预订客票或兑换积分,验证电子客票
想查一下航班信息和托运行李的规定，,咨询托运及非托运行李规定,33,查询航班动态或预订客票,咨询托运及非托运行李规定
你好我想查一下我的航班5月14号的航班，,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
机票退改后的那个发票怎么开呀，,申请及查询电子发票,40,配送行程单,申请及查询电子发票
我问一下，如果是我，取消航班，那这，这边的话是怎么个取消法，但是我的航班是往返我我买的票是往返的票，我已经做了，往往从济南到泸州的机票，然后从郑州到济南，我想取消是怎么个取消法法，,办理航班退票,3,办理客票改期,办理航班退票
婴儿占座，,预订客票,4,咨询占座行李,预订客票
我想咨询一下刚刚我这边显示有一个航班号取消，,查询航班动态,11,办理客票改期,查询航班动态
我没有收到，退票费，,查询机票退款进度,6,办理航班退票,查询机票退款进度
我我买的2月8号的飞机航班取消，是不是改成，2月9号7点55，,办理客票改期,2,查询航班动态,办理客票改期
对你不是4月3号，美国飞上海的东方航空的飞机取消没有航班，,查询航班动态,11,办理客票改期,查询航班动态
牵扯，退票，你发信息，买的机票就是改签了需要退票，,办理客票改期,2,办理航班退票,办理客票改期
嗯我想问一下就是说如果取消的话，嗯，明天就不能起飞了是吧，,查询航班动态,11,办理客票改期,查询航班动态
这段时间有没有去菲律宾马尼拉的机票,预订客票或兑换积分,21,预订客票,预订客票或兑换积分
"嗯,您好,5月30号的时候,我,呃我买了贵阳到墨尔本的票,但是因为我没有去,呃因为那个飞机延误,所以后程的那个,呃呃飞机,我们,航班,我没有乘坐,然后我在那个去哪上申请了退票票,但是已经是一个月了,我的款到现在都还没打,还没有回呢,还没有返回到我的账户",查询机票退款进度,6,办理客票改期,查询机票退款进度
您好我想询问一下货物托运，,咨询货运相关问题,47,咨询托运及非托运行李规定,咨询货运相关问题
我也想，补票怎么补呢，,预订客票,4,咨询候补登机,预订客票
我订了，1月15号到期，机票到南京禄口的，为什么取消掉了，,查询航班动态,11,办理客票改期,查询航班动态
转了转了转了转去，,人工服务,13,办理客票改期,人工服务
你好我的那个航班，那个，我之前退票但是这个航班现在被取消了所以航空公司又自动给我换了一个时间但是我的票是已经退了但是她没有审核通过，,办理航班退票,3,查询机票退款进度,办理航班退票
嗯，请问退机票的款，目什么时候下发，,办理航班退票,3,查询机票退款进度,办理航班退票
嗯我要查询退票信息，,办理航班退票,3,查询机票退款进度,办理航班退票
呃退票，转人工服务，,人工服务,13,办理航班退票,人工服务
唉我那个二号买一张烟台到郑州的机票，就是了，飞机取消了怎么票徊款还没给我退回来呢，,查询机票退款进度,6,办理航班退票,查询机票退款进度
没有，改票，,办理客票改期,2,修改客票或会员信息汇总,办理客票改期
嗯就它上面写的是我买的飞机是自愿零三号4月3号四月也就是四月零三日上海浦东到广元的航班是下午四点半到七点半起飞，他现在说是现有调整调整了，也是四点半到七点半，,办理客票改期,2,查询航班动态,办理客票改期
自助设备在哪些机场有？,查询机场或营业部信息,24,办理网站业务,查询机场或营业部信息
我联系人信息填错了我要更改一下，,修改客票或会员信息汇总,29,修改客票联系方式,修改客票或会员信息汇总
知道了，我还得刷，今天四点四点钟啊，早上六点了，我说我没有，,查询航班动态,11,验证电子客票,查询航班动态
我想查询机票国际的，,预订客票或兑换积分,21,验证电子客票,预订客票或兑换积分
本月月末的机票想查询一下，,预订客票或验证电子客票,45,预订客票或兑换积分,预订客票或验证电子客票
如何打印报销证明,申请及查询电子发票,40,配送行程单,申请及查询电子发票
"是要修改,我本人的名字的拼音",修改客票或会员信息汇总,29,修改会员资料,修改客票或会员信息汇总
为什么，东航的，f，不能修改手机号码，,修改客票或会员信息汇总,29,修改会员资料,修改客票或会员信息汇总
操作一下，查询机票是否申请退款申请成功申请那个退票成功，,办理航班退票,3,查询机票退款进度,办理航班退票
我要更改姓名,修改客票或会员信息汇总,29,修改会员资料,修改客票或会员信息汇总
喂你好是这样那个呃我订的是那个，二月九号那个西安到厦门的航班呃那个航班取消了我那个退款怎么没有退回来，,办理航班退票,3,查询机票退款进度,办理航班退票
因为我们那个机票他说到我们改签，嗯我想问下改签，到底，改签到哪一天，,办理客票改期,2,验证电子客票,办理客票改期
嗯我想查询一下那个从三亚飞牡丹江中转的那个航班，,查询航班动态或预订客票,16,咨询中转相关问题,查询航班动态或预订客票
我6月7号在美团上订那个票是订的是那个东航的好像是做的，四川航空，他这个航班取消了取消了我想问一下这个款怎么付，好者，你们东航帮我改签，,办理客票改期,2,办理航班退票,办理客票改期
我刚刚订了一张那个儿童机票但是好像又怎么没有出票了，,验证电子客票,12,预订客票,验证电子客票
我从网上订的联程的机机票嘛，潜一潜一程，通知我说取消了，后面那一程，是不是也取消了我要重新订吗？,办理客票改期,2,预订客票或兑换积分,办理客票改期
"有一位旅客,他刚做完手术,目前只能平躺着,怎么购买,你们东航的机票呢",办理患病旅客,81,办理担架旅客,办理患病旅客
我要发那个发东西到那个南昌后天中午的航班，,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
喂我会会员，查一下航班，,查询航班动态,11,查询航班动态或预订客票,查询航班动态
查一下明天丽江到西安的机票,预订客票或兑换积分,21,预订客票,预订客票或兑换积分
喂你好我想退票然后网上做我已值机，没办法，退票，,办理航班退票,3,取消值机,办理航班退票
嗯我的那个呃票那个取那个票订错了应该是，呃上海出发到青岛，我现在订成青岛到上海，但是，我已经选座了我现在想把那个座位选取消，,取消值机,36,取消订座记录,取消值机
嗯我没有那个充电插头就没在家里不需要，你没有处理好了，我要我要我要我要我要出票出票出票出票了，,预订客票,4,咨询特殊物品运输规定,预订客票
我原来在其他那个程序上订的东航的机票现在在那个东航的那个app上，现在是没有积分是吗？,办理网站业务,23,查询积分累积标准,办理网站业务
你好我想问一下我订的那个6月1号那个机票怎么取消了，,查询航班动态,11,查询航班动态或预订客票,查询航班动态
在app上进行的那个后补登记可不可以进行信息修改，,修改客票或会员信息汇总,29,咨询候补登机,修改客票或会员信息汇总
我想修改这个会员这个手机密码，,修改会员密码,26,修改会员资料,修改会员密码
嗯行，电子客票行程单上未免为什么没有显示那个嗯出发日期，,配送行程单,15,查询行程单邮寄进度,配送行程单
请问行程单什么时候可以寄出？,查询行程单邮寄进度,17,申请及查询电子发票,查询行程单邮寄进度
哎我那个订单电话号码能不能修改，,修改客票或会员信息汇总,29,修改客票联系方式,修改客票或会员信息汇总
啊我刚才买的是那个东方航空，怎么变成上海啊，上海航空公司的呀而且还有，我的积分都没有了，,补登积分,39,查询积分,补登积分
呃你好我是改签那个机票呃从十一11月1号11月8号改签到12月28号的确认一下，,验证电子客票,12,办理客票改期,验证电子客票
我想问一下到西班牙的航班有没有了，,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
我查的，南宁到大连的飞机都取消了吗？,查询航班动态,11,查询航班动态或预订客票,查询航班动态
嗯我需要咨询一下，航线的问题，国际航线，,查询航班动态或预订客票,16,预订客票,查询航班动态或预订客票
我想补订一张儿童票，,预订客票,4,预订客票或兑换积分,预订客票
我查询我有一个大概要高，就是五厘米宽的一个钟，那个画的一个盒子可不可以带上飞机，,咨询托运及非托运行李规定,33,咨询特殊物品运输规定,咨询托运及非托运行李规定
啊我五月5月8号的1点55浦东到那个沈阳的，取消了，我我可以，你们，我可以重新订票吗？,办理客票改期,2,预订客票,办理客票改期
我想问一下7月19号巴黎飞上海呃东方航空公司还能飞吗？,查询航班动态,11,查询航班动态或预订客票,查询航班动态
"我想查询一下那个取消的航班,因为我买的是西安到巴厘岛的,中转,现在车停了",办理客票改期,2,查询航班动态,办理客票改期
就是那个那个，中转航班，如果取消了，第一趟还，要收费，,办理客票改期,2,咨询中转相关问题,办理客票改期
查询一月十七号九三九三航班，,查询航班动态,11,查询航班动态或预订客票,查询航班动态
我想订7月14号上海浦东到深圳宝安机场的机票,预订客票,4,预订客票或兑换积分,预订客票
浦东机场t1航站楼换乘是否需要重新安检，,查询机场或营业部信息,24,咨询安检相关问题,查询机场或营业部信息
飞北京的机票订不了是怎么回事，,预订客票,4,预订客票或兑换积分,预订客票
就我，改机票上的名字报一下，我啊，改期改期改期的，,修改客票姓名,27,办理客票改期,修改客票姓名
喂你好我要退款，因为你们的航班取消，钱还没有退呢，,查询机票退款进度,6,办理航班退票,查询机票退款进度
啊你好问一下就是这个2020年3月26日重庆江北机场飞往无锡硕放的MU2988，是不是航班取消了，,查询航班动态,11,办理客票改期,查询航班动态
刚申请好小飞人一周之前的行程可以积分吗,补登积分,39,查询积分累积标准,补登积分
"诶你好我那个订的是呃昨天那个下午订的那个26号飞那个西双版纳的是从北,北京首都嘛,因为你们都转机嘛,那我现在不去那边了,我想我要去那个那个,常德,能不能改下把这个票,改掉它",办理客票改期,2,办理航班退票,办理客票改期
我就问一下这个票为什么登不了机的问题，,办理值机选座,22,验证电子客票,办理值机选座
鄞州，郑州到银川，这个航班是几点的呀，11点15，那10点15那个是咋说的，,查询航班动态,11,查询航班动态或预订客票,查询航班动态
想查询航班改签，原因，,办理客票改期,2,查询航班动态,办理客票改期
我想了解一下，机场托运都可以托运，哪种物品，,咨询托运及非托运行李规定,33,咨询特殊物品运输规定,咨询托运及非托运行李规定
嗯你好我想查询一下从菲律宾到国内广州的机票，,预订客票或兑换积分,21,预订客票或验证电子客票,预订客票或兑换积分
"就是老人找不到登机口,所以客服建议我申请这个",办理高龄老人,7,办理轮椅旅客,办理高龄老人
现在有飞往悉尼的航班吗？,查询航班动态或预订客票,16,预订客票,查询航班动态或预订客票
喂你好我想那个我那个买了一个那个我之前是从温哥华到呃到青岛的往返的机票但是呃，来的时候是经过上海我已经回到中国了，但是去的时候呢，是啊，二十三号从青岛飞，南京南京飞温哥华但是我现在行程有点改变，我想，,办理客票改期,2,办理航班退票,办理客票改期
你好我想问一下我是在21号做咱们的航班我当时这个航班是改签的，我现在收到的发票只是收到改签那部分的发票了但是我原来那个行程单那个发票，没有，我怎么领取，,配送行程单,15,申请及查询电子发票,配送行程单
查一下四月二十号从南宁到合肥，,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
那个上海航空公司FM9176航班，原来，22号的改到23号的，没变吧，,办理客票改期,2,查询航班动态,办理客票改期
好，2017年10月7日呃从太谷呃泰国起飞的时间和2017年，嗯，10月8号，到达成都的时间，谢谢，,查询航班动态,11,验证电子客票,查询航班动态
网上办理登机牌，谢谢，,办理值机选座,22,咨询登机牌问题,办理值机选座
哦，我要一个人，过年期间的机票，,预订客票或兑换积分,21,查询航班动态或预订客票,预订客票或兑换积分
请问有没有兑换酸奶的活动,查询积分商城,65,兑换积分,查询积分商城
嗯你好我要查询机票改签情况，,验证电子客票,12,办理客票改期,验证电子客票
我想查询一下首尔到浦东的机票，,预订客票或兑换积分,21,预订客票或验证电子客票,预订客票或兑换积分
他这个机票不是买了，,预订客票,4,验证电子客票,预订客票
不是，我从阿勒泰，买到咸阳的飞机票，你们航班取消了，现在，现在还没退过来，,查询机票退款进度,6,办理航班退票,查询机票退款进度
它需要邮箱，问题是我的邮箱，怎么修改，,修改客票或会员信息汇总,29,修改会员资料,修改客票或会员信息汇总
查询哪一天的航班航班号是多少,查询航班动态,11,验证电子客票,查询航班动态
我我购买的机票已经申请退款了，为什么商家没有处理，,办理航班退票,3,查询机票退款进度,办理航班退票
嗯你好嗯今天然后买了一张，明天六点，就是明天6月5号从中川到北京的机票然后他说嗯就是我是111是，失信人，然后就取消了我想问一下具体情况，,办理客票改期,2,验证电子客票,办理客票改期
我想请问一下，4月4号的飞机，他从曼谷到上海飞飞吗？,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
嗯怎么修改那个机票的城市，,办理客票改期,2,修改客票或会员信息汇总,办理客票改期
我看到我的积分可以兑换得到一张票，然后我朋友也要买同班次的然后，您看看还有经济舱的没有，,兑换积分,41,预订客票,兑换积分
对就是三个人能不能用一个身份证号码去买，用一个成年人的身份证号码去买，,咨询乘机证件规定,32,预订客票,咨询乘机证件规定
你好请问我买的这个航班，,验证电子客票,12,查询航班动态,验证电子客票
有没有到那个能订到上海的航班，,查询航班动态或预订客票,16,预订客票或兑换积分,查询航班动态或预订客票
诶你好我这个机票改签了，你看，给我查一下子，我21号走，我坐哪趟航班到哈尔滨呢，,办理客票改期,2,验证电子客票,办理客票改期
行遍改签，航变退票，,办理客票改期,2,办理航班退票,办理客票改期
嗯，我的航班信息，嗯有误，,办理客票改期,2,查询航班动态,办理客票改期
我在网上退票，,办理航班退票,3,办理网站业务,办理航班退票
你好我想问一下机票买嗯成功了是不是就正常起飞，有没有存在72%的，呃，25%的可能性啊，,查询航班动态,11,验证电子客票,查询航班动态
呃我想问一下有没有婴儿餐，就是上海到西双版纳的，,申请特殊餐食,55,查询航班餐食,申请特殊餐食
有氧运输，,办理小动物运输,1,特殊服务汇总,办理小动物运输
我想查询一下我的登机牌，,咨询登机牌问题,25,办理值机选座,咨询登机牌问题
"呃我十日的机票成都到呃那个温州的,有台风怎么办",办理客票改期,2,查询航班动态,办理客票改期
嗯我想那个查一下我的航班信息是，改签以后的，又有变动了，,办理客票改期,2,查询航班动态,办理客票改期
"可以,我就是需要给我一个我买这些机票的一个报销凭证",申请及查询电子发票,40,配送行程单,申请及查询电子发票
查询从国内飞伦敦的机票，,预订客票或兑换积分,21,预订客票或验证电子客票,预订客票或兑换积分
你直接这样订机票，嗯转那个人工，,预订客票或兑换积分,21,人工服务,预订客票或兑换积分
上海飞北京，登机要求，健康的要求，,咨询新冠肺炎防控要求,0,咨询乘机规定,咨询新冠肺炎防控要求
给我转人工台，我要订票，,预订客票或兑换积分,21,人工服务,预订客票或兑换积分
嗯查看一下我的退票信息，,办理航班退票,3,查询机票退款进度,办理航班退票
"您好我这个,七号大同到上海的,改期的,这个没有,十七号过来",办理客票改期,2,验证电子客票,办理客票改期
你好我请问一下你们那个航空公司，我以前买了两张票，现在重新订一张，小孩子的票能不能订啊，,预订客票,4,预订客票或兑换积分,预订客票
我想查询一个六月份从武汉到澳洲悉尼的呃机票情况，,预订客票或兑换积分,21,预订客票,预订客票或兑换积分
我想查询，十月份，美国纽约到中国的航班时间，,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
你好我我要修改一下乘机人，我不小心把新增的人，甜到我，乘机人，上了，我要更改一下乘机人，,修改客票或会员信息汇总,29,办理客票改期,修改客票或会员信息汇总
我想请问一下有没有7月20号从伦敦回中国的票，,预订客票或兑换积分,21,预订客票,预订客票或兑换积分
积分何时过期，,咨询积分过期问题,53,查询积分,咨询积分过期问题
"我在飞猪上面有个那个订单我已经取消了呃,看到了,您现在还没确认",验证电子客票,12,办理网站业务,验证电子客票
我想查询一下十二月二十八号南京飞往昆明的ｍｕ二七三五航班，,查询航班动态,11,查询航班动态或预订客票,查询航班动态
哎呦能不能帮我看一下有没有最近的，从芝加哥到上海的机票，,预订客票,4,预订客票或兑换积分,预订客票
我要最后一次的行程单,申请及查询电子发票,40,配送行程单,申请及查询电子发票
那个我想那个退那个飞机票现在他还没给我受理什么时候可以给我处理啊，,办理航班退票,3,查询机票退款进度,办理航班退票
对就是查询那个机票有没有，你们那里有没有说要，改改改航班啊，都是，是不是诈骗信息啊，我要证实一下，,验证电子客票,12,查询航班动态,验证电子客票
订票,预订客票或兑换积分,21,预订客票,预订客票或兑换积分
我想查MU588，4月8号的航班，,查询航班动态,11,查询航班动态或预订客票,查询航班动态
手机号输入错误可以改正吗？,修改客票或会员信息汇总,29,修改客票联系方式,修改客票或会员信息汇总
嗯我就想就问一下，呃，航班的情况，就是那个，芝加哥美国的芝加哥到太原有多少人，嗯，哪些名单有没有知道的，,预订客票,4,查询航班动态或预订客票,预订客票
请问三月十四号上海飞，鹿儿岛的航班还有吗谢谢，,查询航班动态或预订客票,16,预订客票,查询航班动态或预订客票
你好我要订呃订票方面的业务，,预订客票或兑换积分,21,预订客票,预订客票或兑换积分
七月日帮我确认一下机票是否取消，,查询航班动态,11,验证电子客票,查询航班动态
我现在想那个想改签改签的原因，改不了，但是因为我因为我值过机了，,办理客票改期,2,取消值机,办理客票改期
是的，购买积分嗯，我咋没看见链接，我要买国际机票我要买国际机票，,兑换积分,41,预订客票,兑换积分
嗯就是我在，a，呃app上订的票然后输入同行乘客的身份信息的时候输错了，字，呃想要修改，,修改客票或会员信息汇总,29,修改客票姓名,修改客票或会员信息汇总
不是，购买机票，我问一下我买的机票怎么取消啦，,查询航班动态,11,办理客票改期,查询航班动态
嗯我想咨询一下那个会员卡的事，,会员服务其他,28,查询会员卡卡号,会员服务其他
转人工，过来，退票，,人工服务,13,办理航班退票,人工服务
我要查询，会员号，这个情况我需要的q情况，就是多张变一张我需要，,合并会员卡,91,查询会员卡卡号,合并会员卡
"我有一个退票,信息还未处理",查询机票退款进度,6,办理航班退票,查询机票退款进度
