text,intent,labelIndex,ERNIE(预训练模型),Bi-LSTM(非预训练模型)
就改期，改了吗，我看一下有没有成功，,验证电子客票,12,验证电子客票,办理客票改期
"哦我想咨询一下,我添加了,儿童票是往返的吗",验证电子客票,12,验证电子客票,预订客票
云龙机场能打，打印行程卡，行程单吗？,查询机场或营业部信息,24,查询机场或营业部信息,配送行程单
呃查询航班情况，帮我转人工谢谢，,查询航班动态,11,查询航班动态,人工服务
我想查一下，随身携带的行李，,咨询特殊物品运输规定,8,咨询特殊物品运输规定,咨询托运及非托运行李规定
配送行程单还有发票,配送行程单,15,配送行程单,申请及查询电子发票
乘坐国际航班托运行李，带口罩，数量有限制吗？,咨询特殊物品运输规定,8,咨询特殊物品运输规定,咨询托运及非托运行李规定
嗯我订了一张机票那个，有一个女的叫佘金凤，那个缝，当时肯定是有点急，携程疯了，给我改一下，,修改客票姓名,27,修改客票姓名,修改客票或会员信息汇总
请问拨打的这个服务电话号码是多少，,人工服务,13,人工服务,查询机场或营业部信息
"我想托运,疫苗",咨询特殊物品运输规定,8,咨询特殊物品运输规定,办理小动物运输
那个开的发票怎么还没开来呀，一个星期了，,配送行程单,15,配送行程单,申请及查询电子发票
你好我想问一下那个呃，ｍｕ五零四六，今天上，上海飞马尼拉，哎，上海飞克拉克飞不飞了，,查询航班动态,11,查询航班动态,查询航班动态或预订客票
请问现在全国只有虹桥可以自助打印行程单吗,查询机场或营业部信息,24,查询机场或营业部信息,申请及查询电子发票
这个共享航班只能算零点五次,查询积分累积标准,78,查询积分累积标准,办理航班退票
你好我购买的那个嗯航班他取消了你可以帮我转接一下那个嗯，人工服务吗？,办理客票改期,2,办理客票改期,人工服务
"喂那个MU2972航班那个座位,翅膀是哪几个位置啊",查询机型,9,查询机型,办理值机选座
我早一点半的这个，晚上要补保险，现在我想要退票，,办理航班退票,3,办理航班退票,咨询保险业务
我要确定，东航伦敦到上海航班的那个运行情况，4月1号的，,查询航班动态,11,查询航班动态,查询航班动态或预订客票
"你们,你们的客服怎么打打不进去,我聊聊",人工服务,13,人工服务,办理网站业务
"嗯,我想预订5月十号从上海飞香港的机票",预订客票或兑换积分,21,预订客票或兑换积分,预订客票
机票变更，,办理客票改期,2,办理客票改期,修改客票或会员信息汇总
"我当时订成人票好像预留的是36A跟36B,麻烦儿童票帮我留在一起",办理值机选座,22,办理值机选座,预订客票或兑换积分
出生证明可不可以取票，,咨询乘机证件规定,32,咨询乘机证件规定,办理值机选座
"嗯我想查询一下,mu9595,十二点,12点40,开票的那一班",查询航班动态,11,查询航班动态,预订客票
诶你好，小董，我是明天早上6点45的飞机从青岛飞舟山的，还接到信息了，说是去舟山的时候，得在咱们这边带着七日内的核酸检测报告，那我们明天早上6点45的飞机，现在也不能办理啊，那我们，现在不想去了，办退票手续怎么办呢，,咨询新冠肺炎防控要求,0,咨询新冠肺炎防控要求,办理航班退票
嗯我，我有，我提交了一张退票我想问一下什么时候可以退下来，帮我转人工服务，,查询机票退款进度,6,查询机票退款进度,办理航班退票
我想查一下，263，5319731018，订单号MU552航班什么时候起飞，,查询航班动态,11,查询航班动态,验证电子客票
喂那个从英国飞长沙的飞机还有没有,查询航班动态或预订客票,16,查询航班动态或预订客票,预订客票
改签证，a，不是不是说错了，,咨询签证相关问题,30,咨询签证相关问题,修改客票或会员信息汇总
是的就是我办理登机手续，是不是同样可以延，,办理客票改期,2,办理客票改期,办理值机选座
那个我那个票你可不可以帮我改成，,办理客票改期,2,办理客票改期,修改客票或会员信息汇总
嗯你好我问一下就是头部有伤口就是，外伤口缝了一针两针左右两针，然后已经有一周了然后可以上飞机吗？,办理患病旅客,81,办理患病旅客,查询遗失物品
我的订单为什么没有显示，,查询订单,58,查询订单,办理网站业务
每周一班飞纽约的航班是哪个时间段，,查询航班动态或预订客票,16,查询航班动态或预订客票,查询航班动态
我能托运，电机吗？,咨询特殊物品运输规定,8,咨询特殊物品运输规定,咨询托运及非托运行李规定
请问现在大陆赴香港可以通行吗？,查询航班动态或预订客票,16,查询航班动态或预订客票,查询航班动态
你给我查一下那个九吆四吆那个旅客都都登机了嘛，FM，,验证电子客票,12,验证电子客票,查询航班动态
嗯，我是一月二四号，退款的申请退款的，,查询机票退款进度,6,查询机票退款进度,办理航班退票
对，呗对不对，，然后，，那我就不订 就定那个其他票，,预订客票或兑换积分,21,预订客票或兑换积分,验证电子客票
喂你好我想注册一个，我买了，你们这边一个周末行程的那个活动，,注册会员,35,注册会员,配送行程单
从美国回国内的机票哪一天有票，,预订客票,4,预订客票,预订客票或兑换积分
"先是国内的大连到广州，然后广州到悉尼的，都不要靠机翼的部分的，孩子想看下外面的景/:,@-D",办理值机选座,22,办理值机选座,办理客票改期
我买了六月从伦敦到上海的机票，但是，刚刚客服给打电话说是航班没了，,办理客票改期,2,办理客票改期,查询航班动态
为什么我的票没有退票成功，,查询机票退款进度,6,查询机票退款进度,办理航班退票
您好请问是北京首都机场有接送到登机口的那个车吗？,预订度假产品及酒店,76,预订度假产品及酒店,查询机场或营业部信息
"嗯,东方万里行积分换机票,转人工",人工服务,13,人工服务,兑换积分
呃你好麻烦你问一下我订了你们公司的两张票大人的票，小孩子的票带一个一岁多的小孩那个票不会订，怎么弄，,预订客票,4,预订客票,预订客票或兑换积分
我买的，下午六点钟以后的机票呃飞机上有没有，提供免费的晚餐，,查询航班餐食,69,查询航班餐食,咨询托运及非托运行李规定
你好FM9357为什么不能选作后天出发的,办理值机选座,22,办理值机选座,办理网站业务
二月九号，航班取消，,办理客票改期,2,办理客票改期,查询航班动态
你好我的名字一改不知道有没有改成功，是，嗯后天的航班，,修改客票姓名,27,修改客票姓名,修改客票或会员信息汇总
好，我要电子行程单,申请及查询电子发票,40,申请及查询电子发票,配送行程单
乘坐东航航班，需要准备什么，御乘期间，,咨询新冠肺炎防控要求,0,咨询新冠肺炎防控要求,咨询乘机证件规定
查询明天的飞机北京到无锡，,查询航班动态或预订客票,16,查询航班动态或预订客票,查询航班动态
机票预定取消，,办理航班退票,3,办理航班退票,办理客票改期
改成改成万里行机是不是已经取消了，把给他，麻烦退了，,办理航班退票,3,办理航班退票,办理客票改期
想累积南方航空的积分,补登积分,39,补登积分,查询积分累积标准
我想查询一下我的退款受理了吗，可以给我转人工服务吧，,办理航班退票,3,办理航班退票,人工服务
"您好就是那个小孩户口本没有带的话,比如说,呃订机票有影响吗,怎么更新啊",咨询乘机证件规定,32,咨询乘机证件规定,修改客票证件
到腾冲的航班，10月3号，机票没有，,预订客票,4,预订客票,预订客票或兑换积分
我需要报销凭证，谁能帮我一下,申请及查询电子发票,40,申请及查询电子发票,配送行程单
请你查一下，请你查一下我的我那个我那个买的机票，为什么从五号变成了六号，,办理客票改期,2,办理客票改期,查询航班动态
呃就是东航那个填报什么健康证明，卡的，呃，什么时候填报，,申请健康申明,49,申请健康申明,咨询新冠肺炎防控要求
延误耽误行程,办理客票改期,2,办理客票改期,查询航班动态
我要订购，团票团购票，,办理团队业务,61,办理团队业务,预订客票
"我那个问一下吧就是想买那个飞机票,完了这个人八十多岁了,呃,身体各方面都可以,允不允许卖机票",办理高龄老人,7,办理高龄老人,预订客票
"我有个64岁的老人,视力不好,自己找不到登机口,可以申请特殊旅客服务帮忙送机吗",办理轮椅旅客,42,办理轮椅旅客,办理高龄老人
你给我查一下5月5号，从法兰克福飞往上海的机票情况，,预订客票或兑换积分,21,预订客票或兑换积分,验证电子客票
只有经济舱的全价了是吧？对,预订客票,4,预订客票,验证电子客票
刚刚买了两张机票他时间显示的不一样，,办理客票改期,2,办理客票改期,验证电子客票
自愿降舱,办理客票升舱,72,办理客票升舱,办理客票改期
啊我那个3月22号的那个航班，我看有改变，,查询航班动态,11,查询航班动态,办理客票改期
我买的27号的飞机票，七点半的，说打电话说航空取消，说今天退钱怎么还没退呢，,查询机票退款进度,6,查询机票退款进度,办理航班退票
"您呢,我刚刚订从呼和浩特回上海的飞机呃搞错了时间了,请您等等",办理客票改期,2,办理客票改期,查询航班动态
给儿子办空中互联怎么办理,申请空中互联业务,46,申请空中互联业务,办理小动物运输
嗯我要验证一下退票信息,查询机票退款进度,6,查询机票退款进度,验证电子客票
移除积分，,会员服务其他,28,会员服务其他,补登积分
那你改能不能改山航的，山航几点。,办理客票改期,2,办理客票改期,查询航班动态
你们刚才不是打了个电话过来，我对你们给我改了飞机票的那个，,办理客票改期,2,办理客票改期,修改客票联系方式
嗯12月3号早晨呃昌北到银川的呃飞机，确定吗？,查询航班动态或预订客票,16,查询航班动态或预订客票,查询航班动态
对，一定要走道位， 因为走不动我腿不好我会有问题的,办理值机选座,22,办理值机选座,投诉
"我都机场t1到t2航站楼,呃,不行的话需要多少多长时间",查询航站楼信息,51,查询航站楼信息,查询机场或营业部信息
嗯帮我看一下，嗯，这张票是不是，从10月30号，呃改签过来的，,办理客票改期,2,办理客票改期,验证电子客票
***嗯那这个票是到机场，窗口领取是吧，,查询机场或营业部信息,24,查询机场或营业部信息,办理值机选座
看一下我那个机票改到几点了，,验证电子客票,12,验证电子客票,办理客票改期
我收到短信说我的航班取消,查询航班动态,11,查询航班动态,办理客票改期
不是我的意思是我之前买的这个机票这个航班机票，但是现在价格比我之前买的便宜，能补差价吗？,办理客票改期,2,办理客票改期,预订客票
明天回上海的飞机都受影响吗,查询航班动态,11,查询航班动态,查询航班动态或预订客票
我想查一下青岛的，,查询航班动态,11,查询航班动态,查询航班动态或预订客票
健康登记卡，,申请健康申明,49,申请健康申明,咨询新冠肺炎防控要求
我想问一下我想看看那个国际航班的呃原来订的票，呃改没改，,验证电子客票,12,验证电子客票,办理客票改期
你好我想问一下这个航班的情况，,查询航班动态,11,查询航班动态,查询航班动态或预订客票
啊，我想出一张机票，,预订客票或兑换积分,21,预订客票或兑换积分,预订客票
有关，积分问题，,查询积分,62,查询积分,查询积分累积标准
啊是这样啊我在我在，国外，购票，这个出现的生僻字注册和验证都过不了怎么办，,预订客票,4,预订客票,办理网站业务
"我就是想找个座位前舒服的,有老人和孩子",办理值机选座,22,办理值机选座,办理高龄老人
我查一下十二号下午九点多飞那个泰国泰国的航班信息，,查询航班动态,11,查询航班动态,查询航班动态或预订客票
智能语航国际航班查询，,查询航班动态或预订客票,16,查询航班动态或预订客票,查询航班动态
您这个看一下是否能改一下机，看下是否有其他的航班在飞。,办理客票改期,2,办理客票改期,查询航班动态
就是要累积会员的一年的，那个期间的，今年的起始日，,补登积分,39,补登积分,注册会员
积分，重复扣除，,会员服务其他,28,会员服务其他,兑换积分
不是，我这航班突然取消了，我也打听打听，给我找个人工，,人工服务,13,人工服务,办理客票改期
嗯，有没有儿童机票，就是那种不用大人跟着小孩自己送上飞机就可以的，怎么订，,办理无成人陪伴儿童,18,办理无成人陪伴儿童,预订客票
MU5280MU5280，不是，从那个，5点50，嗯晚上5点15分到7点15分从那个长春发往，遥墙的吗？,查询航班动态,11,查询航班动态,查询航班动态或预订客票
\n由于老人病重入院治疗，请帮助办理退票：我在南方航空网上购买了本月26日上午8时长春飞海口2张机票：\n姓名：马英才、陈红梅\n马英才身份证号：220102195201193112\n陈红梅\n220103196406030422,办理航班退票,3,办理航班退票,申请及查询电子发票
嗯我想问一下关于积分的一些事情，,会员服务其他,28,会员服务其他,查询积分
您好呃从厦门到浦东从浦东到锦州，能不能办理行李直挂，,咨询中转相关问题,5,咨询中转相关问题,咨询托运及非托运行李规定
你别说话，不行，在中国东方航空官方网站提交的退款未通过审核，怎么回事，,办理网站业务,23,办理网站业务,办理航班退票
请问明天到昆明的飞机票有吗？,预订客票,4,预订客票,预订客票或兑换积分
嗯你好我那个2月5号的那个机票它航班取消了然后我就申请退款了但是它到现在都没有给我退款到账，只退款了一个人的，,查询机票退款进度,6,查询机票退款进度,办理航班退票
现在去英国的航班有影响吗？,查询航班动态或预订客票,16,查询航班动态或预订客票,查询航班动态
明天到济南飞航班情况，,查询航班动态,11,查询航班动态,查询航班动态或预订客票
喂你好请帮我把改一下那个机票坐机人，把彭丽亮，改成彭轶群，可以吗？,修改客票姓名,27,修改客票姓名,办理客票改期
嗯开行程单电子发票，,申请及查询电子发票,40,申请及查询电子发票,配送行程单
三亚到郑州，呃，老年人需要什么证件,咨询乘机证件规定,32,咨询乘机证件规定,办理高龄老人
那如果他超过十二岁，可以让他一个人坐飞机吗，,办理无成人陪伴儿童,18,办理无成人陪伴儿童,预订客票
办理取消，11月4号，为爱婷的机票，,办理航班退票,3,办理航班退票,办理客票改期
你好我买的是，mumu90，六零航班，,查询航班动态,11,查询航班动态,验证电子客票
嗯是这样子的我有一张机票他已经给我，就是，我要打印发票，但他已经过了那个期限，我怎么补打发票，,申请及查询电子发票,40,申请及查询电子发票,配送行程单
哦我想询问一下，新加坡飞国内的话最近的城市是哪一个，飞哪个城市，,预订客票,4,预订客票,查询航班动态或预订客票
"我想咨询一下7月16号,呃,西安飞北京的航班",查询航班动态或预订客票,16,查询航班动态或预订客票,预订客票
嗯我想了解一下那个东航员工的，后补票，能不能做明天的FM9254，从海口到上海，,咨询候补登机,10,咨询候补登机,预订客票
上个月我在你们官网订了票，请问现在还可以拿回电子回程票吗？,申请及查询电子发票,40,申请及查询电子发票,验证电子客票
哎我想问一下我那个改签票怎么退，,办理航班退票,3,办理航班退票,办理客票改期
"您好我在您那个无人陪伴的那个,上次,嗯帮我接通一下人工",人工服务,13,人工服务,办理无成人陪伴儿童
呃那个乘机人出现，e问题，可不可以更换乘机人，,办理客票改期,2,办理客票改期,修改客票或会员信息汇总
我需要机场浦东t1航站楼的那个，现场电话，,查询机场或营业部信息,24,查询机场或营业部信息,查询航站楼信息
嗯请问一下那个三六零飞泰国的团队票，是可以全款退吗？,办理团队业务,61,办理团队业务,办理航班退票
我订了一张那个飞机票是不是要改点啦，,查询航班动态,11,查询航班动态,验证电子客票
唉我想问一下就是那个订票的话是找您定吗？,预订客票或兑换积分,21,预订客票或兑换积分,预订客票
我想修改一下航班信息里边的预留客户信息，,修改客票或会员信息汇总,29,修改客票或会员信息汇总,办理客票改期
比这个航班中间有转机吗？,咨询中转相关问题,5,咨询中转相关问题,查询航班动态或预订客票
哦哦  那我可以打印下行程单吗   要报账,申请及查询电子发票,40,申请及查询电子发票,配送行程单
嗯是这样的嗯，哈尔滨牡丹江，是不是已经封锁了，不让出行了吗，那我们买的那个机票能否正常，,查询航班动态,11,查询航班动态,验证电子客票
最近有什么优惠活动，,预订客票或兑换积分,21,预订客票或兑换积分,预订客票
今天下午，退票那个那个机票什么时候能退款，,查询机票退款进度,6,查询机票退款进度,办理航班退票
