,text,intent,labelIndex,queryCut,queryCutRMStopWord,queryFinal
25,find animated movies nearest at a movie house,SearchScreeningEvent,3,"['find', 'animated', 'movies', 'nearest', 'at', 'a', 'movie', 'house']","['find', 'animated', 'movies', 'nearest', 'at', 'a', 'movie', 'house']","['find', 'animated', 'movies', 'nearest', 'at', 'a', 'movie', 'house']"
26,play hell house song,SearchCreativeWork,6,"['play', 'hell', 'house', 'song']","['play', 'hell', 'house', 'song']","['play', 'hell', 'house', 'song']"
27,give this novel 5 stars,RateBook,2,"['give', 'this', 'novel', '5', 'stars']","['give', 'this', 'novel', '5', 'stars']","['give', 'this', 'novel', '5', 'stars']"
28,find me showtimes for animated movies in the neighbourhood ,SearchScreeningEvent,3,"['find', 'me', 'showtimes', 'for', 'animated', 'movies', 'in', 'the', 'neighbourhood']","['find', 'me', 'showtimes', 'for', 'animated', 'movies', 'in', 'the', 'neighbourhood']","['find', 'me', 'showtimes', 'for', 'animated', 'movies', 'in', 'the', 'neighbourhood']"
29,find movie times,SearchScreeningEvent,3,"['find', 'movie', 'times']","['find', 'movie', 'times']","['find', 'movie', 'times']"
30,play the top-20 best chicane songs on deezer,PlayMusic,0,"['play', 'the', 'top-20', 'best', 'chicane', 'songs', 'on', 'deezer']","['play', 'the', 'top-20', 'best', 'chicane', 'songs', 'on', 'deezer']","['play', 'the', 'top-20', 'best', 'songs', 'on', 'deezer']"
31,i want to give this current textbook 4 points ,RateBook,2,"['i', 'want', 'to', 'give', 'this', 'current', 'textbook', '4', 'points']","['i', 'want', 'to', 'give', 'this', 'current', 'textbook', '4', 'points']","['i', 'want', 'to', 'give', 'this', 'current', 'textbook', '4', 'points']"
32,add manuelita to my indiespensables playlist,AddToPlaylist,1,"['add', 'manuelita', 'to', 'my', 'indiespensables', 'playlist']","['add', 'manuelita', 'to', 'my', 'indiespensables', 'playlist']","['add', 'to', 'my', 'playlist']"
33,show movie schedules for douglas theatre company,SearchScreeningEvent,3,"['show', 'movie', 'schedules', 'for', 'douglas', 'theatre', 'company']","['show', 'movie', 'schedules', 'for', 'douglas', 'theatre', 'company']","['show', 'movie', 'schedules', 'for', 'douglas', 'theatre', 'company']"
34,i d like to see the show onion sportsdome ,SearchCreativeWork,6,"['i', 'd', 'like', 'to', 'see', 'the', 'show', 'onion', 'sportsdome']","['i', 'd', 'like', 'to', 'see', 'the', 'show', 'onion', 'sportsdome']","['i', 'd', 'like', 'to', 'see', 'the', 'show']"
35,i d like to go to the popular bistro in oh,BookRestaurant,4,"['i', 'd', 'like', 'to', 'go', 'to', 'the', 'popular', 'bistro', 'in', 'oh']","['i', 'd', 'like', 'to', 'go', 'to', 'the', 'popular', 'bistro', 'in', 'oh']","['i', 'd', 'like', 'to', 'go', 'to', 'the', 'popular', 'bistro', 'in', 'oh']"
36,what s the weather in my current spot the day after tomorrow,GetWeather,5,"['what', 's', 'the', 'weather', 'in', 'my', 'current', 'spot', 'the', 'day', 'after', 'tomorrow']","['what', 's', 'the', 'weather', 'in', 'my', 'current', 'spot', 'the', 'day', 'after', 'tomorrow']","['what', 's', 'the', 'weather', 'in', 'my', 'current', 'spot', 'the', 'day', 'after', 'tomorrow']"
37,play playlist the realest down south,PlayMusic,0,"['play', 'playlist', 'the', 'realest', 'down', 'south']","['play', 'playlist', 'the', 'realest', 'down', 'south']","['play', 'playlist', 'the', 'down', 'south']"
38,add this artist to gretchen s soul revived playlist,AddToPlaylist,1,"['add', 'this', 'artist', 'to', 'gretchen', 's', 'soul', 'revived', 'playlist']","['add', 'this', 'artist', 'to', 'gretchen', 's', 'soul', 'revived', 'playlist']","['add', 'this', 'artist', 'to', 'gretchen', 's', 'soul', 'revived', 'playlist']"
39,find a video game called victory march,SearchCreativeWork,6,"['find', 'a', 'video', 'game', 'called', 'victory', 'march']","['find', 'a', 'video', 'game', 'called', 'victory', 'march']","['find', 'a', 'video', 'game', 'called', 'victory', 'march']"
40,find a novel called industry ,SearchCreativeWork,6,"['find', 'a', 'novel', 'called', 'industry']","['find', 'a', 'novel', 'called', 'industry']","['find', 'a', 'novel', 'called']"
41,book a taverna that serves vichyssoise within walking distance in oh,BookRestaurant,4,"['book', 'a', 'taverna', 'that', 'serves', 'vichyssoise', 'within', 'walking', 'distance', 'in', 'oh']","['book', 'a', 'taverna', 'that', 'serves', 'vichyssoise', 'within', 'walking', 'distance', 'in', 'oh']","['book', 'a', 'taverna', 'that', 'serves', 'within', 'walking', 'distance', 'in', 'oh']"
42,let me see the movie schedule for seed of chucky,SearchScreeningEvent,3,"['let', 'me', 'see', 'the', 'movie', 'schedule', 'for', 'seed', 'of', 'chucky']","['let', 'me', 'see', 'the', 'movie', 'schedule', 'for', 'seed', 'of', 'chucky']","['let', 'me', 'see', 'the', 'movie', 'schedule', 'for', 'seed', 'of']"
43,play a chant by mj cole,PlayMusic,0,"['play', 'a', 'chant', 'by', 'mj', 'cole']","['play', 'a', 'chant', 'by', 'mj', 'cole']","['play', 'a', 'chant', 'by', 'cole']"
44,what is the weather like in the city of frewen in the country of venezuela,GetWeather,5,"['what', 'is', 'the', 'weather', 'like', 'in', 'the', 'city', 'of', 'frewen', 'in', 'the', 'country', 'of', 'venezuela']","['what', 'is', 'the', 'weather', 'like', 'in', 'the', 'city', 'of', 'frewen', 'in', 'the', 'country', 'of', 'venezuela']","['what', 'is', 'the', 'weather', 'like', 'in', 'the', 'city', 'of', 'in', 'the', 'country', 'of', 'venezuela']"
45,put this song on my playlist  in the name of blues ,AddToPlaylist,1,"['put', 'this', 'song', 'on', 'my', 'playlist', 'in', 'the', 'name', 'of', 'blues']","['put', 'this', 'song', 'on', 'my', 'playlist', 'in', 'the', 'name', 'of', 'blues']","['put', 'this', 'song', 'on', 'my', 'playlist', 'in', 'the', 'name', 'of', 'blues']"
46,will it be colder in ohio,GetWeather,5,"['will', 'it', 'be', 'colder', 'in', 'ohio']","['will', 'it', 'be', 'colder', 'in', 'ohio']","['will', 'it', 'be', 'colder', 'in', 'ohio']"
47,rate this album a 1,RateBook,2,"['rate', 'this', 'album', 'a', '1']","['rate', 'this', 'album', 'a', '1']","['rate', 'this', 'album', 'a', '1']"
48,in the area find some films,SearchScreeningEvent,3,"['in', 'the', 'area', 'find', 'some', 'films']","['in', 'the', 'area', 'find', 'some', 'films']","['in', 'the', 'area', 'find', 'some', 'films']"
49,what times will the young swordsman be showing at a local cinema,SearchScreeningEvent,3,"['what', 'times', 'will', 'the', 'young', 'swordsman', 'be', 'showing', 'at', 'a', 'local', 'cinema']","['what', 'times', 'will', 'the', 'young', 'swordsman', 'be', 'showing', 'at', 'a', 'local', 'cinema']","['what', 'times', 'will', 'the', 'young', 'be', 'showing', 'at', 'a', 'local', 'cinema']"
50,book a brasserie for one,BookRestaurant,4,"['book', 'a', 'brasserie', 'for', 'one']","['book', 'a', 'brasserie', 'for', 'one']","['book', 'a', 'brasserie', 'for', 'one']"
51,play all of your toys by chris ledoux,PlayMusic,0,"['play', 'all', 'of', 'your', 'toys', 'by', 'chris', 'ledoux']","['play', 'all', 'of', 'your', 'toys', 'by', 'chris', 'ledoux']","['play', 'all', 'of', 'your', 'by', 'chris']"
52,i want to hear a joel hastings melody  ,PlayMusic,0,"['i', 'want', 'to', 'hear', 'a', 'joel', 'hastings', 'melody']","['i', 'want', 'to', 'hear', 'a', 'joel', 'hastings', 'melody']","['i', 'want', 'to', 'hear', 'a', 'melody']"
53,i want to book a restaurant not far from our college ,BookRestaurant,4,"['i', 'want', 'to', 'book', 'a', 'restaurant', 'not', 'far', 'from', 'our', 'college']","['i', 'want', 'to', 'book', 'a', 'restaurant', 'not', 'far', 'from', 'our', 'college']","['i', 'want', 'to', 'book', 'a', 'restaurant', 'not', 'far', 'from', 'our', 'college']"
54,rate in stars as a 6 for lord of the shadows which gets a four,RateBook,2,"['rate', 'in', 'stars', 'as', 'a', '6', 'for', 'lord', 'of', 'the', 'shadows', 'which', 'gets', 'a', 'four']","['rate', 'in', 'stars', 'as', 'a', '6', 'for', 'lord', 'of', 'the', 'shadows', 'which', 'gets', 'a', 'four']","['rate', 'in', 'stars', 'as', 'a', '6', 'for', 'lord', 'of', 'the', 'shadows', 'which', 'gets', 'a', 'four']"
55,add rak biszewilo to my playlist named jazz,AddToPlaylist,1,"['add', 'rak', 'biszewilo', 'to', 'my', 'playlist', 'named', 'jazz']","['add', 'rak', 'biszewilo', 'to', 'my', 'playlist', 'named', 'jazz']","['add', 'to', 'my', 'playlist', 'named', 'jazz']"
56,rate my current book 1 out of 6,RateBook,2,"['rate', 'my', 'current', 'book', '1', 'out', 'of', '6']","['rate', 'my', 'current', 'book', '1', 'out', 'of', '6']","['rate', 'my', 'current', 'book', '1', 'out', 'of', '6']"
57,what is the weather not far from upper klamath national wildlife refuge,GetWeather,5,"['what', 'is', 'the', 'weather', 'not', 'far', 'from', 'upper', 'klamath', 'national', 'wildlife', 'refuge']","['what', 'is', 'the', 'weather', 'not', 'far', 'from', 'upper', 'klamath', 'national', 'wildlife', 'refuge']","['what', 'is', 'the', 'weather', 'not', 'far', 'from', 'national', 'wildlife', 'refuge']"
58,add falling upstairs to the playlist named chill out,AddToPlaylist,1,"['add', 'falling', 'upstairs', 'to', 'the', 'playlist', 'named', 'chill', 'out']","['add', 'falling', 'upstairs', 'to', 'the', 'playlist', 'named', 'chill', 'out']","['add', 'falling', 'to', 'the', 'playlist', 'named', 'chill', 'out']"
59,will it storm in charles pinckney national historic site,GetWeather,5,"['will', 'it', 'storm', 'in', 'charles', 'pinckney', 'national', 'historic', 'site']","['will', 'it', 'storm', 'in', 'charles', 'pinckney', 'national', 'historic', 'site']","['will', 'it', 'storm', 'in', 'charles', 'national', 'historic', 'site']"
60,play techno on lastfm,PlayMusic,0,"['play', 'techno', 'on', 'lastfm']","['play', 'techno', 'on', 'lastfm']","['play', 'techno', 'on', 'lastfm']"
61,add the entire album into indie español,AddToPlaylist,1,"['add', 'the', 'entire', 'album', 'into', 'indie', 'español']","['add', 'the', 'entire', 'album', 'into', 'indie', 'español']","['add', 'the', 'album', 'into', 'indie', 'español']"
62,for the textbook  out of 6 possible i give the following one a 3 ,RateBook,2,"['for', 'the', 'textbook', 'out', 'of', '6', 'possible', 'i', 'give', 'the', 'following', 'one', 'a', '3']","['for', 'the', 'textbook', 'out', 'of', '6', 'possible', 'i', 'give', 'the', 'following', 'one', 'a', '3']","['for', 'the', 'textbook', 'out', 'of', '6', 'possible', 'i', 'give', 'the', 'following', 'one', 'a', '3']"
63,show me the movie schedule for star theatres,SearchScreeningEvent,3,"['show', 'me', 'the', 'movie', 'schedule', 'for', 'star', 'theatres']","['show', 'me', 'the', 'movie', 'schedule', 'for', 'star', 'theatres']","['show', 'me', 'the', 'movie', 'schedule', 'for', 'star', 'theatres']"
64,please find the movie dancing girl,SearchCreativeWork,6,"['please', 'find', 'the', 'movie', 'dancing', 'girl']","['please', 'find', 'the', 'movie', 'dancing', 'girl']","['please', 'find', 'the', 'movie', 'dancing', 'girl']"
65,rate this book 0 out of 6,RateBook,2,"['rate', 'this', 'book', '0', 'out', 'of', '6']","['rate', 'this', 'book', '0', 'out', 'of', '6']","['rate', 'this', 'book', '0', 'out', 'of', '6']"
66,is happy ghost iii at caribbean cinemas,SearchScreeningEvent,3,"['is', 'happy', 'ghost', 'iii', 'at', 'caribbean', 'cinemas']","['is', 'happy', 'ghost', 'iii', 'at', 'caribbean', 'cinemas']","['is', 'happy', 'ghost', 'at', 'caribbean', 'cinemas']"
67,play theme by yanni on vimeo,PlayMusic,0,"['play', 'theme', 'by', 'yanni', 'on', 'vimeo']","['play', 'theme', 'by', 'yanni', 'on', 'vimeo']","['play', 'theme', 'by', 'on', 'vimeo']"
68,rate the current novel a 3 ,RateBook,2,"['rate', 'the', 'current', 'novel', 'a', '3']","['rate', 'the', 'current', 'novel', 'a', '3']","['rate', 'the', 'current', 'novel', 'a', '3']"
69,can you pull up a track on zvooq by graham mcpherson,PlayMusic,0,"['can', 'you', 'pull', 'up', 'a', 'track', 'on', 'zvooq', 'by', 'graham', 'mcpherson']","['can', 'you', 'pull', 'up', 'a', 'track', 'on', 'zvooq', 'by', 'graham', 'mcpherson']","['can', 'you', 'pull', 'up', 'a', 'track', 'on', 'zvooq', 'by', 'graham']"
70,find resurrection of evil ,SearchCreativeWork,6,"['find', 'resurrection', 'of', 'evil']","['find', 'resurrection', 'of', 'evil']","['find', 'of', 'evil']"
71,find playstation官方杂志  a song,SearchCreativeWork,6,"['find', 'playstation官方杂志', 'a', 'song']","['find', 'playstation官方杂志', 'a', 'song']","['find', 'a', 'song']"
72,rate the current essay 2 out of 6,RateBook,2,"['rate', 'the', 'current', 'essay', '2', 'out', 'of', '6']","['rate', 'the', 'current', 'essay', '2', 'out', 'of', '6']","['rate', 'the', 'current', 'essay', '2', 'out', 'of', '6']"
73,add this album to the playlist called dishwashing,AddToPlaylist,1,"['add', 'this', 'album', 'to', 'the', 'playlist', 'called', 'dishwashing']","['add', 'this', 'album', 'to', 'the', 'playlist', 'called', 'dishwashing']","['add', 'this', 'album', 'to', 'the', 'playlist', 'called']"
74,find young miss holmes,SearchCreativeWork,6,"['find', 'young', 'miss', 'holmes']","['find', 'young', 'miss', 'holmes']","['find', 'young', 'miss', 'holmes']"
75,i give christianity not mysterious 1 out of 6 points ,RateBook,2,"['i', 'give', 'christianity', 'not', 'mysterious', '1', 'out', 'of', '6', 'points']","['i', 'give', 'christianity', 'not', 'mysterious', '1', 'out', 'of', '6', 'points']","['i', 'give', 'not', 'mysterious', '1', 'out', 'of', '6', 'points']"
76,i d like to go to the venetian theatre in gabon  party of seven,BookRestaurant,4,"['i', 'd', 'like', 'to', 'go', 'to', 'the', 'venetian', 'theatre', 'in', 'gabon', 'party', 'of', 'seven']","['i', 'd', 'like', 'to', 'go', 'to', 'the', 'venetian', 'theatre', 'in', 'gabon', 'party', 'of', 'seven']","['i', 'd', 'like', 'to', 'go', 'to', 'the', 'theatre', 'in', 'gabon', 'party', 'of', 'seven']"
77,is it supposed to rain nearby my current location at 0 o clock,GetWeather,5,"['is', 'it', 'supposed', 'to', 'rain', 'nearby', 'my', 'current', 'location', 'at', '0', 'o', 'clock']","['is', 'it', 'supposed', 'to', 'rain', 'nearby', 'my', 'current', 'location', 'at', '0', 'o', 'clock']","['is', 'it', 'supposed', 'to', 'rain', 'nearby', 'my', 'current', 'location', 'at', '0', 'o', 'clock']"
78,give zero / 6 stars to the current album,RateBook,2,"['give', 'zero', '/', '6', 'stars', 'to', 'the', 'current', 'album']","['give', 'zero', '/', '6', 'stars', 'to', 'the', 'current', 'album']","['give', 'zero', '/', '6', 'stars', 'to', 'the', 'current', 'album']"
79,put playa fly onto my 2010 decade playlist,AddToPlaylist,1,"['put', 'playa', 'fly', 'onto', 'my', '2010', 'decade', 'playlist']","['put', 'playa', 'fly', 'onto', 'my', '2010', 'decade', 'playlist']","['put', 'onto', 'my', '2010', 'decade', 'playlist']"
80,show me the painting called fool for love ,SearchCreativeWork,6,"['show', 'me', 'the', 'painting', 'called', 'fool', 'for', 'love']","['show', 'me', 'the', 'painting', 'called', 'fool', 'for', 'love']","['show', 'me', 'the', 'painting', 'called', 'for', 'love']"
81,rate what the dog saw a two,RateBook,2,"['rate', 'what', 'the', 'dog', 'saw', 'a', 'two']","['rate', 'what', 'the', 'dog', 'saw', 'a', 'two']","['rate', 'what', 'the', 'dog', 'a', 'two']"
82,find a video game called a stroll in the pork,SearchCreativeWork,6,"['find', 'a', 'video', 'game', 'called', 'a', 'stroll', 'in', 'the', 'pork']","['find', 'a', 'video', 'game', 'called', 'a', 'stroll', 'in', 'the', 'pork']","['find', 'a', 'video', 'game', 'called', 'a', 'in', 'the']"
83,add bret mckenzie to my pop commute playlist,AddToPlaylist,1,"['add', 'bret', 'mckenzie', 'to', 'my', 'pop', 'commute', 'playlist']","['add', 'bret', 'mckenzie', 'to', 'my', 'pop', 'commute', 'playlist']","['add', 'to', 'my', 'pop', 'commute', 'playlist']"
84,what is the weather supposed to be like in new jersey three months from now,GetWeather,5,"['what', 'is', 'the', 'weather', 'supposed', 'to', 'be', 'like', 'in', 'new', 'jersey', 'three', 'months', 'from', 'now']","['what', 'is', 'the', 'weather', 'supposed', 'to', 'be', 'like', 'in', 'new', 'jersey', 'three', 'months', 'from', 'now']","['what', 'is', 'the', 'weather', 'supposed', 'to', 'be', 'like', 'in', 'new', 'jersey', 'three', 'months', 'from', 'now']"
85,find the song called international journal of bilingualism,SearchCreativeWork,6,"['find', 'the', 'song', 'called', 'international', 'journal', 'of', 'bilingualism']","['find', 'the', 'song', 'called', 'international', 'journal', 'of', 'bilingualism']","['find', 'the', 'song', 'called', 'international', 'journal', 'of']"
86,what films are playing at goodrich quality theaters,SearchScreeningEvent,3,"['what', 'films', 'are', 'playing', 'at', 'goodrich', 'quality', 'theaters']","['what', 'films', 'are', 'playing', 'at', 'goodrich', 'quality', 'theaters']","['what', 'films', 'are', 'playing', 'at', 'goodrich', 'quality', 'theaters']"
87,i rated the island of adventure saga a 2 of 6,RateBook,2,"['i', 'rated', 'the', 'island', 'of', 'adventure', 'saga', 'a', '2', 'of', '6']","['i', 'rated', 'the', 'island', 'of', 'adventure', 'saga', 'a', '2', 'of', '6']","['i', 'rated', 'the', 'island', 'of', 'adventure', 'saga', 'a', '2', 'of', '6']"
88,i m looking for the trailer of highlands today,SearchCreativeWork,6,"['i', 'm', 'looking', 'for', 'the', 'trailer', 'of', 'highlands', 'today']","['i', 'm', 'looking', 'for', 'the', 'trailer', 'of', 'highlands', 'today']","['i', 'm', 'looking', 'for', 'the', 'trailer', 'of', 'today']"
89,add this song to my playlist named wild country,AddToPlaylist,1,"['add', 'this', 'song', 'to', 'my', 'playlist', 'named', 'wild', 'country']","['add', 'this', 'song', 'to', 'my', 'playlist', 'named', 'wild', 'country']","['add', 'this', 'song', 'to', 'my', 'playlist', 'named', 'wild', 'country']"
90,rate the princess mouse: a tale of finland one of 6,RateBook,2,"['rate', 'the', 'princess', 'mouse', ':', 'a', 'tale', 'of', 'finland', 'one', 'of', '6']","['rate', 'the', 'princess', 'mouse', ':', 'a', 'tale', 'of', 'finland', 'one', 'of', '6']","['rate', 'the', 'princess', 'mouse', ':', 'a', 'tale', 'of', 'finland', 'one', 'of', '6']"
91,search for police women of cincinnati,SearchCreativeWork,6,"['search', 'for', 'police', 'women', 'of', 'cincinnati']","['search', 'for', 'police', 'women', 'of', 'cincinnati']","['search', 'for', 'women', 'of']"
92,add artist to lo mejor de los 00 s,AddToPlaylist,1,"['add', 'artist', 'to', 'lo', 'mejor', 'de', 'los', '00', 's']","['add', 'artist', 'to', 'lo', 'mejor', 'de', 'los', '00', 's']","['add', 'artist', 'to', 'lo', 'mejor', 'de', 'los', '00', 's']"
93,i d like johnny nash to be put into my playlist always pop punk,AddToPlaylist,1,"['i', 'd', 'like', 'johnny', 'nash', 'to', 'be', 'put', 'into', 'my', 'playlist', 'always', 'pop', 'punk']","['i', 'd', 'like', 'johnny', 'nash', 'to', 'be', 'put', 'into', 'my', 'playlist', 'always', 'pop', 'punk']","['i', 'd', 'like', 'johnny', 'to', 'be', 'put', 'into', 'my', 'playlist', 'always', 'pop', 'punk']"
94,find the they came from somewhere else saga,SearchCreativeWork,6,"['find', 'the', 'they', 'came', 'from', 'somewhere', 'else', 'saga']","['find', 'the', 'they', 'came', 'from', 'somewhere', 'else', 'saga']","['find', 'the', 'they', 'came', 'from', 'somewhere', 'saga']"
95,i want to watch the television show naked ii,SearchCreativeWork,6,"['i', 'want', 'to', 'watch', 'the', 'television', 'show', 'naked', 'ii']","['i', 'want', 'to', 'watch', 'the', 'television', 'show', 'naked', 'ii']","['i', 'want', 'to', 'watch', 'the', 'television', 'show', 'naked', 'ii']"
96,book a reservation for a pub with ma po tofu in moldova,BookRestaurant,4,"['book', 'a', 'reservation', 'for', 'a', 'pub', 'with', 'ma', 'po', 'tofu', 'in', 'moldova']","['book', 'a', 'reservation', 'for', 'a', 'pub', 'with', 'ma', 'po', 'tofu', 'in', 'moldova']","['book', 'a', 'reservation', 'for', 'a', 'pub', 'with', 'ma', 'in', 'moldova']"
